"threshold","snow_year","start_year","scdot_first_day","scdot_last_day","scdot_first_doy_adjusted","scdot_last_doy_adjusted","scdot_length","scdot_count","scdot_percentage","max_consecutive_days","number_of_events","scp_length"
10,"2005-2006",2005,2005-11-11,2006-04-06,103,249,147,104,95.4545454545455,102,3,154
10,"2006-2007",2006,2006-11-06,2007-04-09,98,252,155,155,93.9393939393939,155,1,165
10,"2007-2008",2007,2007-11-19,2008-04-29,111,273,163,163,71.4912280701754,163,1,228
10,"2008-2009",2008,2008-10-19,2009-04-19,81,262,183,175,86.7298578199052,173,2,211
10,"2009-2010",2009,2009-11-02,2010-04-14,94,257,164,153,78.8461538461538,148,2,208
10,"2010-2011",2010,2010-11-25,2011-05-02,117,275,159,159,88.3333333333333,159,1,180
10,"2011-2012",2011,2011-11-14,2012-04-19,106,263,158,157,83.1578947368421,150,2,190
10,"2012-2013",2012,2012-10-23,2013-05-01,85,274,191,191,95.9798994974874,191,1,199
10,"2013-2014",2013,2013-11-09,2014-04-20,101,263,163,150,91.0614525139665,144,3,179
20,"1945-1946",1945,1945-11-07,1946-04-25,99,268,170,170,96.045197740113,170,1,177
20,"1947-1948",1947,1947-11-25,1948-04-28,117,272,156,142,96.2962962962963,142,1,162
20,"1951-1952",1951,1951-12-03,1952-04-04,125,248,124,124,59.3301435406699,124,1,209
20,"1952-1953",1952,1952-11-30,1953-04-02,123,245,124,124,62.6262626262626,124,1,198
20,"1953-1954",1953,1953-11-01,1954-05-19,93,292,200,188,90.9090909090909,173,2,220
20,"1954-1955",1954,1954-11-11,1955-04-17,103,260,158,134,74.1784037558685,99,5,213
20,"1955-1956",1955,1955-11-11,1956-04-14,103,258,156,156,75.7281553398058,156,1,206
20,"1956-1957",1956,1956-09-28,1957-04-14,60,257,199,149,86.1471861471861,116,4,231
20,"1957-1958",1957,1957-11-19,1958-04-19,111,262,152,152,77.1573604060914,152,1,197
20,"1958-1959",1958,1958-10-11,1959-04-16,72,259,188,142,90.3846153846154,136,2,208
20,"1959-1960",1959,1959-12-14,1960-04-12,136,256,121,121,59.0243902439024,121,1,205
20,"1960-1961",1960,1960-11-09,1961-04-28,102,271,171,171,80.6603773584906,171,1,212
20,"1961-1962",1961,1961-10-10,1962-04-17,71,260,190,186,85.972850678733,179,3,221
20,"1962-1963",1962,1962-11-20,1963-04-22,112,265,154,154,79.3814432989691,154,1,194
20,"1963-1964",1963,1963-11-16,1964-05-01,108,275,168,168,91.8032786885246,168,1,183
20,"1964-1965",1964,1964-12-27,1965-03-06,150,218,70,70,40.4624277456647,70,1,173
20,"1965-1966",1965,1965-11-11,1966-04-20,103,263,161,152,80.5,145,2,200
20,"1966-1967",1966,1966-10-21,1967-04-23,82,266,185,185,92.5,185,1,200
20,"1967-1968",1967,1967-12-01,1968-04-04,123,248,126,123,62.3762376237624,115,2,202
20,"1968-1969",1968,1968-11-15,1969-04-13,108,256,150,150,75,150,1,200
20,"1969-1970",1969,1969-11-24,1970-04-30,116,273,158,106,79,97,3,200
20,"1970-1971",1970,1970-12-23,1971-03-31,145,243,99,99,50.5102040816327,99,1,196
20,"1971-1972",1971,1971-11-15,1972-04-28,107,272,166,166,86.4583333333333,166,1,192
20,"1972-1973",1972,1972-12-18,1973-04-02,141,245,106,106,53.2663316582915,106,1,199
20,"1973-1974",1973,1973-11-03,1974-04-19,95,262,168,168,90.3225806451613,168,1,186
20,"1974-1975",1974,1974-12-01,1975-04-10,123,253,131,131,56.7099567099567,131,1,231
20,"1975-1976",1975,1975-11-03,1976-04-11,95,255,161,158,82.5641025641026,150,2,195
20,"1976-1977",1976,1977-01-31,1977-04-08,184,251,68,68,38.6363636363636,68,1,176
20,"1977-1978",1977,1977-12-16,1978-04-27,138,270,133,133,75.1412429378531,133,1,177
20,"1978-1979",1978,1978-12-04,1979-05-02,126,275,150,150,65.5021834061135,150,1,229
20,"1979-1980",1979,1980-01-09,1980-04-04,162,248,87,87,47.5409836065574,87,1,183
20,"1980-1981",1980,1980-12-14,1981-05-01,137,274,139,120,61.7777777777778,83,2,225
20,"1981-1982",1981,1981-12-07,1982-04-22,129,265,137,137,66.1835748792271,137,1,207
20,"1982-1983",1982,1982-12-06,1983-04-29,128,272,145,145,71.4285714285714,145,1,203
20,"1983-1984",1983,1984-01-06,1984-03-31,159,244,86,86,42.3645320197044,86,1,203
20,"1984-1985",1984,1984-11-11,1985-04-30,104,273,171,171,79.5348837209302,171,1,215
20,"1985-1986",1985,1985-10-31,1986-05-01,92,274,183,183,87.5598086124402,183,1,209
20,"1986-1987",1986,1986-11-11,1987-04-22,103,265,163,156,81.5,151,2,200
20,"1987-1988",1987,1988-01-23,1988-04-26,176,270,95,95,48.7179487179487,95,1,195
20,"1988-1989",1988,1988-11-13,1989-04-12,106,255,151,151,79.8941798941799,151,1,189
20,"1989-1990",1989,1989-11-06,1990-04-01,98,244,147,147,78.1914893617021,147,1,188
20,"1990-1991",1990,1990-11-09,1991-04-12,101,255,155,155,76.3546798029557,155,1,203
20,"1991-1992",1991,1991-10-20,1992-04-29,81,273,193,192,93.6893203883495,190,2,206
20,"1992-1993",1992,1993-01-21,1993-03-23,174,235,62,57,40,46,2,155
20,"1993-1994",1993,1993-11-01,1994-05-04,93,277,185,180,93.9086294416244,168,3,197
20,"1994-1995",1994,1994-10-29,1995-04-27,90,270,181,181,94.2708333333333,181,1,192
20,"1995-1996",1995,1995-12-03,1996-04-08,125,252,128,128,71.9101123595506,128,1,178
20,"1996-1997",1996,1996-11-20,1997-04-15,113,258,147,147,72.7722772277228,147,1,202
20,"1997-1998",1997,1997-10-29,1998-03-30,90,242,153,88,81.3829787234042,70,3,188
20,"1998-1999",1998,1998-11-26,1999-03-23,118,235,118,118,62.7659574468085,118,1,188
20,"1999-2000",1999,1999-11-29,2000-03-26,121,239,119,115,60.1010101010101,89,2,198
20,"2000-2001",2000,2000-11-09,2001-04-08,102,251,151,148,76.2626262626263,134,2,198
20,"2001-2002",2001,2001-11-14,2002-05-09,106,282,177,170,87.192118226601,163,2,203
20,"2002-2003",2002,2002-11-22,2003-04-15,114,258,145,46,71.078431372549,34,3,204
20,"2003-2004",2003,2003-11-28,2004-04-04,120,248,129,129,77.710843373494,129,1,166
20,"2004-2005",2004,2004-12-25,2005-03-28,148,240,94,65,50.2673796791444,29,4,187
20,"2005-2006",2005,2005-11-11,2006-03-29,103,241,139,10,90.2597402597403,5,3,154
20,"2006-2007",2006,2006-11-06,2007-04-07,98,250,153,64,92.7272727272727,47,5,165
20,"2007-2008",2007,2007-12-01,2008-04-08,123,252,130,130,57.0175438596491,130,1,228
20,"2008-2009",2008,2008-11-11,2009-04-11,104,254,152,152,72.0379146919431,152,1,211
20,"2009-2010",2009,2009-11-11,2010-04-13,103,256,154,115,74.0384615384615,106,3,208
20,"2010-2011",2010,2010-12-13,2011-04-26,135,269,135,128,75,122,3,180
20,"2011-2012",2011,2011-12-27,2012-04-07,149,251,103,103,54.2105263157895,103,1,190
20,"2012-2013",2012,2012-10-24,2013-04-12,86,255,171,171,85.929648241206,171,1,199
20,"2013-2014",2013,2013-12-01,2014-04-17,123,260,138,135,77.0949720670391,130,2,179
30,"1945-1946",1945,1945-11-30,1946-04-19,122,262,141,141,79.6610169491525,141,1,177
30,"1947-1948",1947,1947-12-06,1948-04-23,128,267,140,126,86.4197530864197,126,1,162
30,"1951-1952",1951,1952-01-07,1952-04-04,160,248,89,65,42.5837320574163,58,3,209
30,"1952-1953",1952,1953-01-04,1953-03-28,157,240,84,75,42.4242424242424,49,2,198
30,"1953-1954",1953,1953-11-17,1954-05-07,109,280,172,172,78.1818181818182,172,1,220
30,"1954-1955",1954,1954-11-13,1955-04-10,105,253,149,107,69.9530516431925,82,4,213
30,"1955-1956",1955,1955-11-13,1956-04-11,105,255,151,151,73.3009708737864,151,1,206
30,"1956-1957",1956,1956-10-31,1957-04-02,93,245,154,110,66.6666666666667,95,3,231
30,"1957-1958",1957,1957-11-26,1958-04-19,118,262,145,128,73.6040609137056,123,2,197
30,"1958-1959",1958,1958-12-09,1959-04-11,131,254,124,124,59.6153846153846,124,1,208
30,"1959-1960",1959,1959-12-31,1960-04-04,153,248,96,96,46.8292682926829,96,1,205
30,"1960-1961",1960,1960-11-18,1961-04-28,111,271,162,162,76.4150943396226,162,1,212
30,"1961-1962",1961,1961-10-10,1962-04-02,71,245,175,161,79.185520361991,153,3,221
30,"1962-1963",1962,1962-12-16,1963-04-14,138,257,120,120,61.8556701030928,120,1,194
30,"1963-1964",1963,1963-11-16,1964-04-25,108,269,162,162,88.5245901639344,162,1,183
30,"1964-1965",1964,1965-01-04,1965-03-05,157,217,61,56,35.2601156069364,42,2,173
30,"1965-1966",1965,1965-12-05,1966-04-20,127,263,137,125,68.5,120,2,200
30,"1966-1967",1966,1966-10-24,1967-04-22,85,265,181,181,90.5,181,1,200
30,"1967-1968",1967,1968-01-14,1968-03-22,167,235,69,65,34.1584158415842,49,2,202
30,"1968-1969",1968,1968-11-15,1969-04-11,108,254,148,148,74,148,1,200
30,"1969-1970",1969,1970-01-11,1970-04-29,164,272,109,50,54.5,19,6,200
30,"1970-1971",1970,1971-01-19,1971-03-12,172,224,53,53,27.0408163265306,53,1,196
30,"1971-1972",1971,1972-02-13,1972-04-19,197,263,67,67,34.8958333333333,67,1,192
30,"1972-1973",1972,1972-12-26,1973-03-29,149,241,94,94,47.2361809045226,94,1,199
30,"1973-1974",1973,1973-11-16,1974-04-18,108,261,154,154,82.7956989247312,154,1,186
30,"1974-1975",1974,1974-12-05,1975-04-09,127,252,126,126,54.5454545454545,126,1,231
30,"1975-1976",1975,1975-11-14,1976-04-07,106,251,146,146,74.8717948717949,146,1,195
30,"1976-1977",1976,1977-02-16,1977-04-08,200,251,52,52,29.5454545454545,52,1,176
30,"1977-1978",1977,1978-01-23,1978-04-18,176,261,86,74,48.5875706214689,46,2,177
30,"1978-1979",1978,1978-12-15,1979-04-28,137,271,135,135,58.9519650655022,135,1,229
30,"1979-1980",1979,1980-01-25,1980-03-27,178,240,63,63,34.4262295081967,63,1,183
30,"1980-1981",1980,1981-02-23,1981-04-25,207,268,62,34,27.5555555555556,19,2,225
30,"1981-1982",1981,1981-12-21,1982-03-22,143,234,92,67,44.4444444444444,45,3,207
30,"1982-1983",1982,1982-12-31,1983-04-22,153,265,113,113,55.6650246305419,113,1,203
30,"1983-1984",1983,1984-01-30,1984-03-27,183,240,58,58,28.5714285714286,58,1,203
30,"1984-1985",1984,1984-12-13,1985-04-26,136,269,135,130,62.7906976744186,108,2,215
30,"1985-1986",1985,1985-11-27,1986-04-27,119,270,152,129,72.7272727272727,116,3,209
30,"1986-1987",1986,1986-12-07,1987-04-21,129,264,136,136,68,136,1,200
30,"1987-1988",1987,1988-02-01,1988-04-24,185,268,84,84,43.0769230769231,84,1,195
30,"1988-1989",1988,1988-11-13,1989-04-10,106,253,149,149,78.8359788359788,149,1,189
30,"1989-1990",1989,1989-11-11,1990-03-29,103,241,139,139,73.936170212766,139,1,188
30,"1990-1991",1990,1990-11-22,1991-04-11,114,254,141,141,69.4581280788177,141,1,203
30,"1991-1992",1991,1991-11-12,1992-04-25,104,269,166,166,80.5825242718447,166,1,206
30,"1992-1993",1992,1993-02-20,1993-03-22,204,234,31,31,20,31,1,155
30,"1993-1994",1993,1993-11-21,1994-05-02,113,275,163,161,82.741116751269,154,2,197
30,"1994-1995",1994,1994-11-23,1995-04-23,115,266,152,152,79.1666666666667,152,1,192
30,"1995-1996",1995,1995-12-19,1996-04-06,141,250,110,110,61.7977528089888,110,1,178
30,"1996-1997",1996,1996-11-24,1997-04-12,117,255,140,140,69.3069306930693,140,1,202
30,"1997-1998",1997,1998-01-29,1998-03-22,182,234,53,53,28.1914893617021,53,1,188
30,"1998-1999",1998,1998-12-22,1999-03-23,144,235,92,73,48.936170212766,68,2,188
30,"1999-2000",1999,1999-12-06,2000-03-01,128,214,87,70,43.9393939393939,52,2,198
30,"2000-2001",2000,2000-12-26,2001-04-07,149,250,103,86,52.020202020202,40,4,198
30,"2001-2002",2001,2001-11-23,2002-05-07,115,280,166,149,81.7733990147783,139,3,203
30,"2002-2003",2002,NA,NA,NA,NA,0,0,0,0,0,204
30,"2003-2004",2003,2003-12-26,2004-03-30,148,243,96,88,57.8313253012048,51,3,166
30,"2004-2005",2004,2005-01-27,2005-02-02,180,186,7,2,3.74331550802139,1,2,187
30,"2005-2006",2005,NA,NA,NA,NA,0,0,0,0,0,154
30,"2006-2007",2006,2006-11-06,2007-03-23,98,235,138,12,83.6363636363636,10,2,165
30,"2007-2008",2007,2007-12-16,2008-04-06,138,250,113,95,49.5614035087719,42,3,228
30,"2008-2009",2008,2008-12-02,2009-04-10,125,253,130,130,61.6113744075829,130,1,211
30,"2009-2010",2009,2009-12-10,2010-04-11,132,254,123,61,59.1346153846154,51,3,208
30,"2010-2011",2010,2010-12-20,2011-04-09,142,252,111,111,61.6666666666667,111,1,180
30,"2011-2012",2011,2012-01-05,2012-03-29,158,242,85,60,44.7368421052632,36,3,190
30,"2012-2013",2012,2012-10-25,2013-03-24,87,236,151,147,75.8793969849246,109,3,199
30,"2013-2014",2013,2014-02-18,2014-04-08,202,251,50,50,27.9329608938547,50,1,179
40,"1945-1946",1945,1946-01-14,1946-04-11,167,254,88,88,49.7175141242938,88,1,177
40,"1947-1948",1947,1948-01-14,1948-04-22,167,266,100,86,61.7283950617284,86,1,162
